"filename", "language", "pip requirements", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\README.md", "Markdown", 0, 0, 36, 0, 13, 49
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\main.py", "Python", 0, 3, 0, 0, 3, 6
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\requirements.txt", "pip requirements", 3, 0, 0, 0, 1, 4
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\tests\test_browser_detection.py", "Python", 0, 231, 0, 0, 79, 310
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\tests\test_controller.py", "Python", 0, 54, 0, 0, 19, 73
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\tests\test_geometry.py", "Python", 0, 13, 0, 0, 13, 26
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\tests\test_mutex.py", "Python", 0, 17, 0, 0, 5, 22
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\tests\test_overlay.py", "Python", 0, 41, 0, 0, 9, 50
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\tests\test_url_rules.py", "Python", 0, 140, 0, 0, 34, 174
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\tools\generate_icon.py", "Python", 0, 25, 0, 0, 11, 36
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\youtube_scroll_blocker\__init__.py", "Python", 0, 1, 0, 1, 2, 4
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\youtube_scroll_blocker\__main__.py", "Python", 0, 3, 0, 0, 3, 6
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\youtube_scroll_blocker\app.py", "Python", 0, 97, 0, 0, 28, 125
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\youtube_scroll_blocker\browser_detection.py", "Python", 0, 164, 0, 1, 39, 204
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\youtube_scroll_blocker\controller.py", "Python", 0, 38, 0, 0, 12, 50
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\youtube_scroll_blocker\geometry.py", "Python", 0, 32, 0, 0, 10, 42
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\youtube_scroll_blocker\mutex.py", "Python", 0, 24, 0, 0, 9, 33
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\youtube_scroll_blocker\overlay.py", "Python", 0, 92, 0, 3, 12, 107
"c:\Users\davey\Desktop\Projects\Youtube Endless Scroll Blocker\youtube_scroll_blocker\url_rules.py", "Python", 0, 62, 0, 3, 19, 84
"Total", "-", 3, 1037, 36, 8, 321, 1405
